,,,,,,,,,,,,,,,,,,,
,Summary,,,,,,Flow Chức Năng,,,,,,,,,,,,
,Hạng mục,Nội dung,,,,,Flow,Bước thao tác,Kết quả mong đợi,,,,,,,,,,
,Tên sản phẩm,AiCryptoCore,,,,,Đọc insight từ Homepage,"Vào homepage, xem featured insight hoặc featured stories, click bài viết.",Điều hướng sang trang chi tiết bài viết.,,,,,,,,,,
,Link demo,https://aicryptocore-production.up.railway.app/,,,,,Xem chi tiết tin,Mở một article từ homepage/category.,"Hiển thị đầy đủ nội dung bài, metadata và thông tin tác giả.",,,,,,,,,,
,Mục tiêu MVP,"Website tin tức AI × Crypto có homepage dashboard, bài viết, category, search, market ticker, responsive và SEO cơ bản.",,,,,Tìm kiếm bài viết,"Vào /search, nhập keyword và chọn category filter.",Danh sách bài được tìm/lọc theo nhu cầu.,,,,,,,,,,
,,,,,,,Duyệt category,"Click News, Altcoin Insights, Crypto AI Tools, Mining hoặc Top Projects.",Hiển thị danh sách bài theo chuyên mục.,,,,,,,,,,
,Scope MVP,,,,,,Xem market/AI signals,"Xem ticker, AI × Crypto Signal Map và Market & Trending trên homepage.","Hiển thị giá, biến động và các chỉ số tín hiệu demo.",,,,,,,,,,
,Module,Mô tả,Route demo,Trạng thái,,,,,,,,,,,,,,,
,Homepage,"Dashboard AI × Crypto: featured insight, signal map, stack navigator, ticker, featured stories và trending topics.",/,Có,,,,,,,,,,,,,,,
,News detail page,"Trang chi tiết bài viết có title, cover, metadata, nội dung, author và SEO article data.",/news/autonomous-ai-agents-reshaping-onchain-defi-coordination,Có,,,Collect Data,,,,,,,,,,,,
,Search article,"Có page search riêng, input keyword, danh sách bài viết và bộ lọc category.",/search,Có,,,Loại dữ liệu,Nguồn dữ liệu đang dùng,Giải thích / Note gửi dev,,,,,,,,,,
,Category page,"Có page danh mục riêng như News, Altcoin Insights, Crypto AI Tools, Mining và Top Projects.","/news, /altcoin-insights, /crypto-ai-tools",Có,,,Price ticker (full AI coin set),CoinGecko simple/price - full set,"API giá cho ticker và market snapshot với nhóm coin AI × Crypto mở rộng: BTC, ETH, SOL, FET, RNDR, TAO, NEAR, GRT, OCEAN, AGIX, AKT, WLD.",,,,,,,,,,
,Admin CRUD bài viết,Route admin hiển thị trang “404 Page Not Found”; chưa có giao diện quản trị bài viết.,/admin,Chưa có,,,Price ticker (homepage compact set),CoinGecko simple/price - compact set,"API giá rút gọn cho các coin nổi bật trên homepage hoặc widget nhanh: BTC, ETH, SOL, FET, TAO, RNDR.",,,,,,,,,,
,SEO cơ bản,"Có title, meta description, Open Graph, Twitter card và JSON-LD. Article detail có canonical; một số listing page chưa có canonical.",Toàn site,Có,,,,,,,,,,,,,,,
,Responsive mobile/tablet,Đã kiểm tra homepage mobile 390px và news page tablet 768px.,Homepage / News,Có,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,Flow Chức Năng,,,,,,,,,,,,,,,,,,
,Flow,Bước thao tác,Kết quả mong đợi,,,,,,,,,,,,,,,,
,Đọc insight từ Homepage,"Vào homepage, xem featured insight hoặc featured stories, click bài viết.",Điều hướng sang trang chi tiết bài viết.,,,,,,,,,,,,,,,,
,Xem chi tiết tin,Mở một article từ homepage/category.,"Hiển thị đầy đủ nội dung bài, metadata và thông tin tác giả.",,,,,,,,,,,,,,,,
,Tìm kiếm bài viết,"Vào /search, nhập keyword và chọn category filter.",Danh sách bài được tìm/lọc theo nhu cầu.,,,,,,,,,,,,,,,,
,Duyệt category,"Click News, Altcoin Insights, Crypto AI Tools, Mining hoặc Top Projects.",Hiển thị danh sách bài theo chuyên mục.,,,,,,,,,,,,,,,,
,Xem market/AI signals,"Xem ticker, AI × Crypto Signal Map và Market & Trending trên homepage.","Hiển thị giá, biến động và các chỉ số tín hiệu demo.",,,,,,,,,,,,,,,,